road_id,road_name,area,thana,hour,day_of_week,is_weekend,is_night,is_rush_hour,rain,historical_incidents,night_incident_ratio,lighting_condition,bus_stops_count,police_stations_nearby,commercial_density,road_type_code,length_meters,expected_intensity,risk_score,target_high_risk
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,0,Monday,0,1,0,0,11,0.273,2,3,1,2,3,800,0.634,13,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,0,Monday,0,1,0,1,11,0.273,2,3,1,2,3,800,0.76,14,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,0,Tuesday,0,1,0,0,11,0.273,2,3,1,2,3,800,0.634,13,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,0,Tuesday,0,1,0,1,11,0.273,2,3,1,2,3,800,0.76,14,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,0,Wednesday,0,1,0,0,11,0.273,2,3,1,2,3,800,0.634,13,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,0,Wednesday,0,1,0,1,11,0.273,2,3,1,2,3,800,0.76,14,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,0,Thursday,0,1,0,0,11,0.273,2,3,1,2,3,800,0.634,13,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,0,Thursday,0,1,0,1,11,0.273,2,3,1,2,3,800,0.76,14,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,0,Friday,1,1,0,0,11,0.273,2,3,1,2,3,800,0.792,14,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,0,Friday,1,1,0,1,11,0.273,2,3,1,2,3,800,0.95,16,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,0,Saturday,1,1,0,0,11,0.273,2,3,1,2,3,800,0.792,14,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,0,Saturday,1,1,0,1,11,0.273,2,3,1,2,3,800,0.95,16,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,0,Sunday,0,1,0,0,11,0.273,2,3,1,2,3,800,0.634,13,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,0,Sunday,0,1,0,1,11,0.273,2,3,1,2,3,800,0.76,14,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,1,Monday,0,1,0,0,11,0.273,2,3,1,2,3,800,0.634,13,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,1,Monday,0,1,0,1,11,0.273,2,3,1,2,3,800,0.76,14,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,1,Tuesday,0,1,0,0,11,0.273,2,3,1,2,3,800,0.634,13,0
ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,1,Tuesday,0,1,0,1,11,0.273,2,3,1,2,3,800,0.76,14,0
